"","City","Date","AQI"
"1","Bengaluru",2015 Mar,130.545454545455
"2","Bengaluru",2015 Apr,113.733333333333
"3","Bengaluru",2015 May,102.774193548387
"4","Bengaluru",2015 Jun,108.3
"5","Bengaluru",2015 Jul,160.548387096774
"6","Bengaluru",2015 Aug,134.870967741935
"7","Bengaluru",2015 Sep,98.3666666666667
"8","Bengaluru",2015 Oct,105.322580645161
"9","Bengaluru",2015 Nov,83.9333333333333
"10","Bengaluru",2015 Dec,97.4516129032258
"11","Bengaluru",2016 Jan,134.322580645161
"12","Bengaluru",2016 Feb,143.896551724138
"13","Bengaluru",2016 Mar,145.58064516129
"14","Bengaluru",2016 Apr,122
"15","Bengaluru",2016 May,67.8709677419355
"16","Bengaluru",2016 Jun,67.1
"17","Bengaluru",2016 Jul,110.387096774194
"18","Bengaluru",2016 Aug,64.4193548387097
"19","Bengaluru",2016 Sep,72.3333333333333
"20","Bengaluru",2016 Oct,116.612903225806
"21","Bengaluru",2016 Nov,110.7
"22","Bengaluru",2016 Dec,115.387096774194
"23","Bengaluru",2017 Jan,114.612903225806
"24","Bengaluru",2017 Feb,119.178571428571
"25","Bengaluru",2017 Mar,81.1935483870968
"26","Bengaluru",2017 Apr,92
"27","Bengaluru",2017 May,66.9677419354839
"28","Bengaluru",2017 Jun,59.7
"29","Bengaluru",2017 Jul,94.3225806451613
"30","Bengaluru",2017 Aug,83
"31","Bengaluru",2017 Sep,72.4666666666667
"32","Bengaluru",2017 Oct,89.6774193548387
"33","Bengaluru",2017 Nov,77.2333333333333
"34","Bengaluru",2017 Dec,96.6774193548387
"35","Bengaluru",2018 Jan,97.5806451612903
"36","Bengaluru",2018 Feb,81
"37","Bengaluru",2018 Mar,92.5806451612903
"38","Bengaluru",2018 Apr,86.2
"39","Bengaluru",2018 May,92.2903225806452
"40","Bengaluru",2018 Jun,66.9333333333333
"41","Bengaluru",2018 Jul,61.7741935483871
"42","Bengaluru",2018 Aug,62.8387096774194
"43","Bengaluru",2018 Sep,76.1666666666667
"44","Bengaluru",2018 Oct,94.7096774193548
"45","Bengaluru",2018 Nov,104.2
"46","Bengaluru",2018 Dec,119
"47","Bengaluru",2019 Jan,116.806451612903
"48","Bengaluru",2019 Feb,106.25
"49","Bengaluru",2019 Mar,122.129032258065
"50","Bengaluru",2019 Apr,124.3
"51","Bengaluru",2019 May,105.387096774194
"52","Bengaluru",2019 Jun,70.5333333333333
"53","Bengaluru",2019 Jul,63.741935483871
"54","Bengaluru",2019 Aug,59.3548387096774
"55","Bengaluru",2019 Sep,72.9666666666667
"56","Bengaluru",2019 Oct,81.1290322580645
"57","Bengaluru",2019 Nov,96.2
"58","Bengaluru",2019 Dec,81.7741935483871
"59","Bengaluru",2020 Jan,95.3225806451613
"60","Bengaluru",2020 Feb,96.4827586206897
"61","Bengaluru",2020 Mar,90.741935483871
"62","Bengaluru",2020 Apr,68.5333333333333
"63","Bengaluru",2020 May,73.1612903225806
"64","Bengaluru",2020 Jun,55.1666666666667
"65","Bengaluru",2020 Jul,43
"66","Chennai",2015 Mar,381
"67","Chennai",2015 Apr,178.266666666667
"68","Chennai",2015 May,176.129032258065
"69","Chennai",2015 Jun,152.2
"70","Chennai",2015 Jul,164.064516129032
"71","Chennai",2015 Aug,122.612903225806
"72","Chennai",2015 Sep,120.733333333333
"73","Chennai",2015 Oct,143.58064516129
"74","Chennai",2015 Nov,120.633333333333
"75","Chennai",2015 Dec,117.935483870968
"76","Chennai",2016 Jan,143.838709677419
"77","Chennai",2016 Feb,155.413793103448
"78","Chennai",2016 Mar,155.064516129032
"79","Chennai",2016 Apr,133.166666666667
"80","Chennai",2016 May,129.258064516129
"81","Chennai",2016 Jun,93.8333333333333
"82","Chennai",2016 Jul,91.9354838709677
"83","Chennai",2016 Aug,134.741935483871
"84","Chennai",2016 Sep,184.933333333333
"85","Chennai",2016 Oct,150.032258064516
"86","Chennai",2016 Nov,140.933333333333
"87","Chennai",2016 Dec,99.8709677419355
"88","Chennai",2017 Jan,124.41935483871
"89","Chennai",2017 Feb,120.357142857143
"90","Chennai",2017 Mar,110.645161290323
"91","Chennai",2017 Apr,105.6
"92","Chennai",2017 May,121.58064516129
"93","Chennai",2017 Jun,80.7666666666667
"94","Chennai",2017 Jul,102
"95","Chennai",2017 Aug,93.5806451612903
"96","Chennai",2017 Sep,88.4333333333333
"97","Chennai",2017 Oct,104.870967741935
"98","Chennai",2017 Nov,92.1333333333333
"99","Chennai",2017 Dec,106.41935483871
"100","Chennai",2018 Jan,153.709677419355
"101","Chennai",2018 Feb,116.142857142857
"102","Chennai",2018 Mar,108.741935483871
"103","Chennai",2018 Apr,69.1666666666667
"104","Chennai",2018 May,82.8064516129032
"105","Chennai",2018 Jun,96.8666666666667
"106","Chennai",2018 Jul,93.3225806451613
"107","Chennai",2018 Aug,86.4838709677419
"108","Chennai",2018 Sep,96.4666666666667
"109","Chennai",2018 Oct,104.032258064516
"110","Chennai",2018 Nov,118.833333333333
"111","Chennai",2018 Dec,139.032258064516
"112","Chennai",2019 Jan,131
"113","Chennai",2019 Feb,118.071428571429
"114","Chennai",2019 Mar,101.41935483871
"115","Chennai",2019 Apr,87.5333333333333
"116","Chennai",2019 May,103.612903225806
"117","Chennai",2019 Jun,112.666666666667
"118","Chennai",2019 Jul,88.7096774193548
"119","Chennai",2019 Aug,85.5483870967742
"120","Chennai",2019 Sep,103.633333333333
"121","Chennai",2019 Oct,102.903225806452
"122","Chennai",2019 Nov,121.966666666667
"123","Chennai",2019 Dec,80.1612903225806
"124","Chennai",2020 Jan,87.5161290322581
"125","Chennai",2020 Feb,78.1379310344828
"126","Chennai",2020 Mar,70.2903225806452
